user_id,platform,date,earnings,hours_worked,rating,job_type
USER001,lyft,2024-01-01,172.78,9.4,4.9,rideshare
USER001,lyft,2024-01-02,39.19,2.3,4.5,rideshare
USER001,lyft,2024-01-03,146.98,8.5,4.2,rideshare
USER001,lyft,2024-01-04,53.52,2.1,4.7,rideshare
USER001,lyft,2024-01-05,179.05,11.6,4.1,rideshare
USER001,lyft,2024-01-06,211.85,8.0,4.7,rideshare
USER001,lyft,2024-01-07,146.06,5.8,4.8,rideshare
USER001,lyft,2024-01-10,48.3,2.5,4.3,rideshare
USER001,lyft,2024-01-11,47.53,3.0,4.6,rideshare
USER001,lyft,2024-01-12,69.45,4.1,4.9,rideshare
USER001,lyft,2024-01-15,77.1,3.6,5.0,rideshare
USER001,lyft,2024-01-17,252.97,10.4,4.2,rideshare
USER001,lyft,2024-01-18,75.1,4.7,4.9,rideshare
USER001,lyft,2024-01-20,149.67,6.0,4.5,rideshare
USER001,lyft,2024-01-21,120.36,7.6,4.6,rideshare
USER001,lyft,2024-01-23,206.68,12.0,4.1,rideshare
USER001,lyft,2024-01-24,148.75,8.3,4.4,rideshare
USER001,lyft,2024-01-25,227.69,12.0,5.0,rideshare
USER001,lyft,2024-01-27,198.7,8.8,4.3,rideshare
USER001,lyft,2024-01-29,149.44,6.5,4.9,rideshare
USER001,lyft,2024-01-30,88.26,3.8,4.9,rideshare
USER001,lyft,2024-01-31,149.01,8.1,4.8,rideshare
USER001,lyft,2024-02-01,133.17,7.3,4.3,rideshare
USER001,lyft,2024-02-02,296.79,10.8,4.3,rideshare
USER001,lyft,2024-02-03,227.54,11.5,4.5,rideshare
USER001,lyft,2024-02-04,185.88,9.7,4.5,rideshare
USER001,lyft,2024-02-05,183.47,10.7,4.2,rideshare
USER001,lyft,2024-02-06,82.72,4.0,5.0,rideshare
USER001,lyft,2024-02-08,57.63,3.2,4.3,rideshare
USER001,lyft,2024-02-09,60.23,4.2,4.6,rideshare
USER001,lyft,2024-02-10,211.13,10.6,4.2,rideshare
USER001,lyft,2024-02-12,190.62,11.4,4.5,rideshare
USER001,lyft,2024-02-15,97.69,6.3,4.5,rideshare
USER001,lyft,2024-02-19,117.45,5.4,4.2,rideshare
USER001,lyft,2024-02-20,110.45,6.2,4.2,rideshare
USER001,lyft,2024-02-22,145.33,7.5,5.0,rideshare
USER001,lyft,2024-02-27,78.9,4.1,4.1,rideshare
USER001,lyft,2024-02-28,128.75,4.7,4.5,rideshare
USER001,lyft,2024-02-29,300.31,12.0,4.7,rideshare
USER001,lyft,2024-03-01,216.63,11.7,4.5,rideshare
USER001,lyft,2024-03-03,167.15,7.0,4.2,rideshare
USER001,lyft,2024-03-05,143.42,8.0,4.2,rideshare
USER001,lyft,2024-03-06,110.69,4.5,4.6,rideshare
USER001,lyft,2024-03-07,176.79,7.2,4.2,rideshare
USER001,lyft,2024-03-09,152.03,8.7,4.3,rideshare
USER001,lyft,2024-03-11,281.26,12.0,4.1,rideshare
USER001,lyft,2024-03-12,230.52,11.3,4.9,rideshare
USER001,lyft,2024-03-13,185.32,10.3,4.6,rideshare
USER001,lyft,2024-03-16,123.27,5.0,4.9,rideshare
USER001,lyft,2024-03-17,50.66,3.1,4.3,rideshare
USER001,lyft,2024-03-20,98.57,4.6,4.9,rideshare
USER001,lyft,2024-03-22,73.48,4.8,4.8,rideshare
USER001,lyft,2024-03-24,163.6,7.5,4.0,rideshare
USER001,lyft,2024-03-25,267.88,11.0,4.8,rideshare
USER001,lyft,2024-03-26,49.83,3.3,4.9,rideshare
USER001,lyft,2024-03-30,58.91,3.0,4.9,rideshare
USER001,uber,2024-01-01,88.12,3.5,4.9,rideshare
USER001,uber,2024-01-05,139.54,5.3,4.8,rideshare
USER001,uber,2024-01-08,80.96,3.1,4.9,rideshare
USER001,uber,2024-01-09,141.05,6.6,4.8,rideshare
USER001,uber,2024-01-10,55.78,3.9,4.9,rideshare
USER001,uber,2024-01-12,153.14,6.0,4.5,rideshare
USER001,uber,2024-01-14,110.82,3.8,4.3,rideshare
USER001,uber,2024-01-15,166.25,9.3,4.6,rideshare
USER001,uber,2024-01-16,132.04,7.8,4.7,rideshare
USER001,uber,2024-01-17,194.84,7.4,4.7,rideshare
USER001,uber,2024-01-19,126.47,8.6,4.3,rideshare
USER001,uber,2024-01-22,105.78,6.1,4.3,rideshare
USER001,uber,2024-01-23,234.53,11.4,4.9,rideshare
USER001,uber,2024-01-25,37.54,2.0,4.4,rideshare
USER001,uber,2024-01-26,139.97,6.6,4.2,rideshare
USER001,uber,2024-01-27,207.56,10.0,4.1,rideshare
USER001,uber,2024-01-28,128.69,5.4,4.8,rideshare
USER001,uber,2024-01-30,34.24,2.2,4.5,rideshare
USER001,uber,2024-02-01,139.44,8.3,4.7,rideshare
USER001,uber,2024-02-02,119.77,8.6,4.8,rideshare
USER001,uber,2024-02-04,85.62,3.8,4.5,rideshare
USER001,uber,2024-02-05,180.18,10.5,4.8,rideshare
USER001,uber,2024-02-08,279.45,10.9,4.7,rideshare
USER001,uber,2024-02-09,201.99,7.5,4.7,rideshare
USER001,uber,2024-02-10,83.01,4.5,4.8,rideshare
USER001,uber,2024-02-11,83.88,4.7,4.3,rideshare
USER001,uber,2024-02-12,115.2,7.4,4.2,rideshare
USER001,uber,2024-02-15,136.89,7.4,4.2,rideshare
USER001,uber,2024-02-16,203.31,7.8,4.9,rideshare
USER001,uber,2024-02-18,91.51,5.5,4.9,rideshare
USER001,uber,2024-02-20,174.62,7.5,4.2,rideshare
USER001,uber,2024-02-21,41.43,2.3,4.7,rideshare
USER001,uber,2024-02-22,94.57,6.7,4.6,rideshare
USER001,uber,2024-02-23,117.39,7.6,4.6,rideshare
USER001,uber,2024-02-24,46.72,2.5,4.2,rideshare
USER001,uber,2024-02-25,144.15,5.8,4.8,rideshare
USER001,uber,2024-02-26,35.25,2.2,5.0,rideshare
USER001,uber,2024-02-27,223.79,9.8,4.8,rideshare
USER001,uber,2024-02-29,45.57,3.5,4.7,rideshare
USER001,uber,2024-03-01,171.02,9.0,4.2,rideshare
USER001,uber,2024-03-04,227.79,11.6,4.0,rideshare
USER001,uber,2024-03-05,241.75,11.6,4.7,rideshare
USER001,uber,2024-03-06,152.36,8.3,4.8,rideshare
USER001,uber,2024-03-09,229.15,9.8,4.4,rideshare
USER001,uber,2024-03-10,123.75,5.4,4.8,rideshare
USER001,uber,2024-03-11,232.66,8.4,4.7,rideshare
USER001,uber,2024-03-12,236.4,11.7,4.8,rideshare
USER001,uber,2024-03-13,137.72,6.4,4.3,rideshare
USER001,uber,2024-03-16,104.22,4.4,4.6,rideshare
USER001,uber,2024-03-17,140.21,10.5,4.2,rideshare
USER001,uber,2024-03-19,195.31,9.0,4.0,rideshare
USER001,uber,2024-03-21,168.66,6.9,4.7,rideshare
USER001,uber,2024-03-23,59.71,2.9,4.7,rideshare
USER001,uber,2024-03-24,141.88,6.7,4.4,rideshare
USER001,uber,2024-03-26,93.42,4.7,4.1,rideshare
USER001,uber,2024-03-27,131.68,7.4,4.2,rideshare
USER001,uber,2024-03-28,218.43,9.2,4.5,rideshare
USER001,uber,2024-03-29,56.2,3.9,4.2,rideshare
USER001,uber,2024-03-30,114.79,4.7,4.6,rideshare
USER001,upwork,2024-01-02,448.92,5.4,4.6,freelance
USER001,upwork,2024-01-03,101.31,2.7,4.9,freelance
USER001,upwork,2024-01-04,264.94,4.6,4.6,freelance
USER001,upwork,2024-01-05,161.83,6.1,5.0,freelance
USER001,upwork,2024-01-06,474.75,6.5,4.2,freelance
USER001,upwork,2024-01-07,268.2,5.0,5.0,freelance
USER001,upwork,2024-01-08,407.11,6.5,4.9,freelance
USER001,upwork,2024-01-09,195.69,6.9,4.2,freelance
USER001,upwork,2024-01-10,105.73,5.1,4.3,freelance
USER001,upwork,2024-01-11,448.92,7.3,4.7,freelance
USER001,upwork,2024-01-17,418.46,6.8,4.8,freelance
USER001,upwork,2024-01-18,124.13,3.8,4.6,freelance
USER001,upwork,2024-01-19,213.46,7.2,4.9,freelance
USER001,upwork,2024-01-20,69.81,1.7,4.4,freelance
USER001,upwork,2024-01-21,75.6,1.8,4.8,freelance
USER001,upwork,2024-01-22,823.25,10.0,4.3,freelance
